number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
33,0.9818402186269088,2026-02-14 21:29:07.500220,2026-02-14 21:29:08.827168,0 days 00:00:01.326948,0.9066408682523411,0.17072591924738734,10,205,0.667808822531237,COMPLETE
34,0.9816554679035612,2026-02-14 21:29:08.827168,2026-02-14 21:29:10.411016,0 days 00:00:01.583848,0.9029259064573442,0.10982699048610252,10,212,0.8900646198797655,COMPLETE
35,0.9814196439620337,2026-02-14 21:29:10.411016,2026-02-14 21:29:12.071195,0 days 00:00:01.660179,0.9082093456929697,0.13468277124810896,10,227,0.8963482706895227,COMPLETE
36,0.981140514062286,2026-02-14 21:29:12.071195,2026-02-14 21:29:13.716365,0 days 00:00:01.645170,0.9070011231318351,0.11787883345399029,10,239,0.895979948396091,COMPLETE
37,0.9786870425757745,2026-02-14 21:29:13.716365,2026-02-14 21:29:16.261010,0 days 00:00:02.544645,0.7246610343819422,0.02666717535664045,10,258,0.9281177705084493,COMPLETE
38,0.9804819230120664,2026-02-14 21:29:16.261010,2026-02-14 21:29:17.772731,0 days 00:00:01.511721,0.6254053631807113,0.14074354478968287,10,271,0.8758791866621832,COMPLETE
39,0.9808194329736099,2026-02-14 21:29:17.772731,2026-02-14 21:29:19.742887,0 days 00:00:01.970156,0.8005534398406551,0.05256790911732809,10,222,0.9297380349309576,COMPLETE
40,0.9792904179187512,2026-02-14 21:29:19.743892,2026-02-14 21:29:20.572024,0 days 00:00:00.828132,0.692709584618527,0.10588156241188508,3,205,0.7663565873203876,COMPLETE
41,0.9802692692635553,2026-02-14 21:29:20.572024,2026-02-14 21:29:22.413537,0 days 00:00:01.841513,0.8916114085275464,0.06749518195855968,9,211,0.8490366683539801,COMPLETE
42,0.9815886625332301,2026-02-14 21:29:22.413537,2026-02-14 21:29:23.925571,0 days 00:00:01.512034,0.9666850529180749,0.11228068779089426,9,198,0.9280003087584487,COMPLETE
43,0.9810506764293019,2026-02-14 21:29:23.927086,2026-02-14 21:29:25.358053,0 days 00:00:01.430967,0.9733693286000057,0.1629844733894256,10,201,0.9337413124901082,COMPLETE
44,0.9812836415558293,2026-02-14 21:29:25.358053,2026-02-14 21:29:27.008860,0 days 00:00:01.650807,0.9591971791340841,0.11109902838647834,10,228,0.9015779241915693,COMPLETE
45,0.98065365446328,2026-02-14 21:29:27.010911,2026-02-14 21:29:28.320082,0 days 00:00:01.309171,0.765113085936092,0.20759675811461656,9,194,0.9539153823885494,COMPLETE
46,0.9806660180992839,2026-02-14 21:29:28.322083,2026-02-14 21:29:29.941350,0 days 00:00:01.619267,0.8518989398802799,0.118011633370919,8,243,0.9952205860852951,COMPLETE
47,0.9821525019413361,2026-02-14 21:29:29.943350,2026-02-14 21:29:31.381675,0 days 00:00:01.438325,0.9982859681687957,0.1679847338435778,10,217,0.8130189717524805,COMPLETE
48,0.9743836862187818,2026-02-14 21:29:31.381675,2026-02-14 21:29:33.800105,0 days 00:00:02.418430,0.9993134344664012,0.013008152049655513,9,214,0.7940435355826039,COMPLETE
49,0.9804776943514101,2026-02-14 21:29:33.800105,2026-02-14 21:29:35.172651,0 days 00:00:01.372546,0.9789530004745495,0.2290756286111518,8,259,0.8207611634270978,COMPLETE
50,0.980225883272017,2026-02-14 21:29:35.174654,2026-02-14 21:29:36.922186,0 days 00:00:01.747532,0.9521194746573741,0.060574347035207185,10,181,0.7587631745884615,COMPLETE
51,0.9818485674672507,2026-02-14 21:29:36.922186,2026-02-14 21:29:38.564195,0 days 00:00:01.642009,0.9069163603895782,0.1374174141513408,10,232,0.8663586603545055,COMPLETE
52,0.9809730618989837,2026-02-14 21:29:38.564195,2026-02-14 21:29:39.992197,0 days 00:00:01.428002,0.9820679749304727,0.17277361426728138,10,197,0.8569089034736362,COMPLETE
53,0.980178693453009,2026-02-14 21:29:39.994200,2026-02-14 21:29:41.199636,0 days 00:00:01.205436,0.8758340848036656,0.2948640116575706,10,239,0.8215330588754788,COMPLETE
54,0.9815476901192959,2026-02-14 21:29:41.199636,2026-02-14 21:29:42.857106,0 days 00:00:01.657470,0.8974438496642297,0.09845549104994714,9,210,0.8800332784793151,COMPLETE
55,0.9792954057169458,2026-02-14 21:29:42.857106,2026-02-14 21:29:44.934532,0 days 00:00:02.077426,0.8903617333022051,0.036961510996076044,9,210,0.8730482729477074,COMPLETE
56,0.9807743561195919,2026-02-14 21:29:44.934532,2026-02-14 21:29:46.594989,0 days 00:00:01.660457,0.9230863645594898,0.10462166770981333,10,219,0.9115878385781373,COMPLETE
57,0.9808357005477646,2026-02-14 21:29:46.594989,2026-02-14 21:29:48.888353,0 days 00:00:02.293364,0.8541928826338339,0.04325594900169334,9,279,0.8341071967862451,COMPLETE
58,0.9821074524525265,2026-02-14 21:29:48.888353,2026-02-14 21:29:50.411363,0 days 00:00:01.523010,0.957937879672363,0.07311393211008253,6,234,0.8653531054920843,COMPLETE
59,0.959130496183688,2026-02-14 21:29:50.411363,2026-02-14 21:29:52.452399,0 days 00:00:02.041036,0.9539122387940034,0.0020804038272542193,6,252,0.8618556025155466,COMPLETE
60,0.9810178262717224,2026-02-14 21:29:52.452399,2026-02-14 21:29:53.855899,0 days 00:00:01.403500,0.9879664019797435,0.07266485715463383,5,233,0.8376456737712054,COMPLETE
61,0.9807247089098923,2026-02-14 21:29:53.855899,2026-02-14 21:29:55.265372,0 days 00:00:01.409473,0.9374604252203463,0.09866348447234388,6,210,0.8823970577310771,COMPLETE
62,0.9819120909865813,2026-02-14 21:29:55.265372,2026-02-14 21:29:56.417583,0 days 00:00:01.152211,0.8993975890170174,0.13890386446548372,5,196,0.8058847507264185,COMPLETE
63,0.9806482978245258,2026-02-14 21:29:56.419584,2026-02-14 21:29:57.554582,0 days 00:00:01.134998,0.9634918027771326,0.24256212654240453,5,223,0.8028817909568348,COMPLETE
64,0.9810896239831942,2026-02-14 21:29:57.554582,2026-02-14 21:29:58.579343,0 days 00:00:01.024761,0.9119970255822137,0.1440596159629279,4,194,0.8016362058823945,COMPLETE
65,0.9808796490674438,2026-02-14 21:29:58.579343,2026-02-14 21:29:59.725722,0 days 00:00:01.146379,0.932035965458438,0.19071160744420665,6,178,0.9602007428048702,COMPLETE
66,0.9804204390369561,2026-02-14 21:29:59.727725,2026-02-14 21:30:01.101150,0 days 00:00:01.373425,0.9865399823477011,0.1275097851640905,7,203,0.9428793836838677,COMPLETE
67,0.9817514147436173,2026-02-14 21:30:01.101150,2026-02-14 21:30:02.493402,0 days 00:00:01.392252,0.8264573983348178,0.08428048459487524,5,235,0.9158306789532048,COMPLETE
68,0.9807574944306252,2026-02-14 21:30:02.493402,2026-02-14 21:30:03.817815,0 days 00:00:01.324413,0.8217389058971665,0.08216354737289007,5,236,0.9113819995744332,COMPLETE
69,0.9786542523353727,2026-02-14 21:30:03.817815,2026-02-14 21:30:05.298523,0 days 00:00:01.480708,0.8498212777488595,0.030723823997802543,5,248,0.7475886295926323,COMPLETE
70,0.9813285077654974,2026-02-14 21:30:05.300518,2026-02-14 21:30:06.454370,0 days 00:00:01.153852,0.8760945232028194,0.2575819767342679,4,268,0.8642755419175407,COMPLETE
71,0.9824689495351926,2026-02-14 21:30:06.456372,2026-02-14 21:30:07.792935,0 days 00:00:01.336563,0.9471230900944916,0.16140725431606526,6,188,0.9168248775160437,COMPLETE
72,0.9820685803006439,2026-02-14 21:30:07.792935,2026-02-14 21:30:09.050152,0 days 00:00:01.257217,0.9027551987322613,0.1525145737456536,6,221,0.9154065222565653,COMPLETE
73,0.9818365369042124,2026-02-14 21:30:09.052154,2026-02-14 21:30:10.352084,0 days 00:00:01.299930,0.9196198869876417,0.1569849657396329,6,219,0.9128568352104764,COMPLETE
74,0.9819061017339372,2026-02-14 21:30:10.352084,2026-02-14 21:30:11.659229,0 days 00:00:01.307145,0.9174813982524994,0.16190920812199133,6,220,0.7882148474205021,COMPLETE
75,0.9819761243441455,2026-02-14 21:30:11.659229,2026-02-14 21:30:12.834231,0 days 00:00:01.175002,0.9464404308727652,0.19910579362059347,6,186,0.7789738491988587,COMPLETE
76,0.9818368739655945,2026-02-14 21:30:12.834231,2026-02-14 21:30:14.010863,0 days 00:00:01.176632,0.9279606770633689,0.19338062994730196,6,188,0.7773926394505811,COMPLETE
77,0.9810033977008545,2026-02-14 21:30:14.010863,2026-02-14 21:30:15.114314,0 days 00:00:01.103451,0.9421475330298724,0.23360601042408416,7,170,0.7891101373455377,COMPLETE
78,0.9813217402706794,2026-02-14 21:30:15.114314,2026-02-14 21:30:16.309286,0 days 00:00:01.194972,0.9483479762016661,0.1504243486274619,6,181,0.817271054450214,COMPLETE
79,0.9804785049669504,2026-02-14 21:30:16.311288,2026-02-14 21:30:17.533970,0 days 00:00:01.222682,0.8870938954179436,0.20250895519905876,7,226,0.8083302590324749,COMPLETE
80,0.9815233058180045,2026-02-14 21:30:17.533970,2026-02-14 21:30:18.824550,0 days 00:00:01.290580,0.9713830151226591,0.13197277937030838,6,192,0.8479585293183709,COMPLETE
81,0.9812210338729113,2026-02-14 21:30:18.824550,2026-02-14 21:30:20.038212,0 days 00:00:01.213662,0.9115970155687866,0.17457661053976561,6,205,0.8305020864703405,COMPLETE
82,0.9815024297645184,2026-02-14 21:30:20.040212,2026-02-14 21:30:21.234893,0 days 00:00:01.194681,0.9174507889294029,0.2704034597047399,6,217,0.7630469283369673,COMPLETE
83,0.9802324898451904,2026-02-14 21:30:21.234893,2026-02-14 21:30:22.165343,0 days 00:00:00.930450,0.9392085054919728,0.15518956167068962,7,78,0.7463517535053058,COMPLETE
84,0.981627626237602,2026-02-14 21:30:22.165343,2026-02-14 21:30:23.390707,0 days 00:00:01.225364,0.9603079529643096,0.21216822246531522,5,244,0.7870171014041907,COMPLETE
85,0.9823065872613144,2026-02-14 21:30:23.390707,2026-02-14 21:30:24.902037,0 days 00:00:01.511330,0.9000079732698105,0.12744762968616385,7,231,0.813387332725164,COMPLETE
86,0.9819620026813872,2026-02-14 21:30:24.902037,2026-02-14 21:30:26.434445,0 days 00:00:01.532408,0.9008711335190422,0.12060485968712381,7,230,0.8124152065852115,COMPLETE
87,0.9811226414797856,2026-02-14 21:30:26.434445,2026-02-14 21:30:27.973466,0 days 00:00:01.539021,0.8655367761357122,0.12067537540515716,7,251,0.8149819941019822,COMPLETE
88,0.9803523971864738,2026-02-14 21:30:27.973466,2026-02-14 21:30:29.581633,0 days 00:00:01.608167,0.8978018464437811,0.0661165536245484,7,225,0.7782949076365933,COMPLETE
89,0.9812644917610156,2026-02-14 21:30:29.582636,2026-02-14 21:30:30.965128,0 days 00:00:01.382492,0.9910764270880563,0.0957846617345921,6,185,0.8258642932326385,COMPLETE
90,0.981585220966811,2026-02-14 21:30:30.965128,2026-02-14 21:30:31.923525,0 days 00:00:00.958397,0.9296978157874458,0.17562000109901776,3,241,0.8061876940852171,COMPLETE
91,0.9817541024229884,2026-02-14 21:30:31.923525,2026-02-14 21:30:33.239170,0 days 00:00:01.315645,0.9007155990721115,0.13696136296498576,6,229,0.8477350085194965,COMPLETE
92,0.980137186692453,2026-02-14 21:30:33.240174,2026-02-14 21:30:34.454364,0 days 00:00:01.214190,0.8844582290719958,0.12452581183119435,5,232,0.7949046811875496,COMPLETE
93,0.9815438215792263,2026-02-14 21:30:34.454364,2026-02-14 21:30:35.910433,0 days 00:00:01.456069,0.9525490739698798,0.152082193656784,7,259,0.787178484862832,COMPLETE
94,0.9813435833064034,2026-02-14 21:30:35.910433,2026-02-14 21:30:37.193208,0 days 00:00:01.282775,0.9751832301591131,0.19194319513492605,6,216,0.7720177086521196,COMPLETE
95,0.9801519484628869,2026-02-14 21:30:37.193208,2026-02-14 21:30:38.397571,0 days 00:00:01.204363,0.9344704960579769,0.09253118623619286,5,200,0.7537635156283414,COMPLETE
96,0.9798777697097751,2026-02-14 21:30:38.397571,2026-02-14 21:30:39.929900,0 days 00:00:01.532329,0.9136524785157346,0.07380831127198133,6,222,0.9808698910633112,COMPLETE
97,0.9694388685097008,2026-02-14 21:30:39.931902,2026-02-14 21:30:42.080012,0 days 00:00:02.148110,0.7909892600314959,0.00805666067208888,7,237,0.812254087322469,COMPLETE
98,0.959130496183688,2026-02-14 21:30:42.080012,2026-02-14 21:30:44.420866,0 days 00:00:02.340854,0.871826169325635,0.0026529885901402993,8,207,0.8701641316521349,COMPLETE
99,0.9830052098556727,2026-02-14 21:30:44.420866,2026-02-14 21:30:45.575930,0 days 00:00:01.155064,0.944130537580495,0.2763603484771178,6,217,0.828159422301543,COMPLETE
100,0.9814647543787357,2026-02-14 21:30:45.575930,2026-02-14 21:30:46.725434,0 days 00:00:01.149504,0.9432750782146284,0.2938137929241411,6,196,0.7971333506217264,COMPLETE
101,0.9814216805716066,2026-02-14 21:30:46.727436,2026-02-14 21:30:47.921582,0 days 00:00:01.194146,0.9227042938304307,0.23669231497438076,6,215,0.8367842717543118,COMPLETE
102,0.9814494429896049,2026-02-14 21:30:47.921582,2026-02-14 21:30:49.272616,0 days 00:00:01.351034,0.9018362343547818,0.16532529545718722,6,231,0.8533253960716102,COMPLETE
103,0.9817141959619511,2026-02-14 21:30:49.272616,2026-02-14 21:30:50.383296,0 days 00:00:01.110680,0.9581922693013686,0.2069771380663161,5,222,0.8263815587571738,COMPLETE
104,0.980926188098907,2026-02-14 21:30:50.385295,2026-02-14 21:30:51.611355,0 days 00:00:01.226060,0.8833893348160381,0.2578781981291106,6,245,0.886848462767236,COMPLETE
105,0.9808345224075279,2026-02-14 21:30:51.611355,2026-02-14 21:30:53.171775,0 days 00:00:01.560420,0.9669428673910209,0.11030191116869904,7,254,0.9028773372828103,COMPLETE
106,0.9817903667329022,2026-02-14 21:30:53.171775,2026-02-14 21:30:54.418018,0 days 00:00:01.246243,0.947518403312312,0.1349615882027347,6,174,0.7699532337156159,COMPLETE
107,0.9813057929137136,2026-02-14 21:30:54.418018,2026-02-14 21:30:55.571838,0 days 00:00:01.153820,0.8930592802962029,0.18462165072721792,5,213,0.8409358068039537,COMPLETE
