model,patient,Accuracy,Precision,Recall,F1 Score,F1 Macro,F1 Micro,ROC AUC
Chronos2,PN00,0.8172043010752689,0.5,0.1372549019607843,0.2153846153846154,0.5559681697612733,0.8172043010752689,0.7336601307189542
Chronos2,PN01,0.6428571428571429,0.320754716981132,0.8095238095238095,0.4594594594594595,0.5963963963963964,0.6428571428571429,0.7519623233908947
Chronos2,PN03,0.8346456692913385,0.6842105263157895,0.7428571428571429,0.7123287671232876,0.7981533338378869,0.8346456692913385,0.8717391304347826
Chronos2,PN05,0.5548387096774193,0.1212121212121212,0.4210526315789473,0.188235294117647,0.4407843137254902,0.5548387096774193,0.5835913312693499
Chronos2,PN06,0.7883211678832117,0.2592592592592592,0.1555555555555555,0.1944444444444444,0.536297852474323,0.7883211678832117,0.8160116448326056
Chronos2,PN07,0.7090909090909091,0.3846153846153846,1.0,0.5555555555555556,0.6696696696696697,0.7090909090909091,0.7755555555555556
Chronos2,PN09,0.757396449704142,0.4,0.6451612903225806,0.4938271604938271,0.6671470432819331,0.757396449704142,0.8010752688172044
Chronos2,PN11,0.6727272727272727,0.2352941176470588,0.4444444444444444,0.3076923076923077,0.5467032967032968,0.6727272727272727,0.6594202898550725
Chronos2,PN12,0.6681614349775785,0.3125,0.5681818181818182,0.4032258064516129,0.5867060709276698,0.6681614349775785,0.696800406297613
Chronos2,PN14,0.8056872037914692,0.2903225806451613,0.3214285714285714,0.3050847457627119,0.596068543680254,0.8056872037914692,0.6524199843871974
Chronos2,PN16,0.776,0.5625,0.7941176470588235,0.6585365853658537,0.7459349593495935,0.776,0.8548804137039432
Chronos2,PN17,0.7391304347826086,0.4117647058823529,0.5833333333333334,0.4827586206896552,0.6541700080192462,0.7391304347826086,0.7161172161172161
Moirai2,PN00,0.8136200716845878,0.4615384615384615,0.1176470588235294,0.1875,0.5411184210526316,0.8136200716845878,0.7330581355349157
Moirai2,PN01,0.6071428571428571,0.2830188679245283,0.7142857142857143,0.4054054054054054,0.556036036036036,0.6071428571428571,0.7310308738880167
Moirai2,PN03,0.84251968503937,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8027950310559007,0.84251968503937,0.8701863354037267
Moirai2,PN05,0.567741935483871,0.1470588235294117,0.5263157894736842,0.2298850574712643,0.4647183134889954,0.567741935483871,0.6017801857585139
Moirai2,PN06,0.7883211678832117,0.303030303030303,0.2222222222222222,0.2564102564102564,0.5665030005455538,0.7883211678832117,0.8137797185832121
Moirai2,PN07,0.5454545454545454,0.2857142857142857,1.0,0.4444444444444444,0.5299145299145299,0.5454545454545454,0.7444444444444445
Moirai2,PN09,0.8047337278106509,0.4705882352941176,0.5161290322580645,0.4923076923076923,0.6857142857142857,0.8047337278106509,0.8031790556334735
Moirai2,PN11,0.6909090909090909,0.2777777777777778,0.5555555555555556,0.3703703703703703,0.5827755466309683,0.6909090909090909,0.6570048309178744
Moirai2,PN12,0.6502242152466368,0.3111111111111111,0.6363636363636364,0.417910447761194,0.583955223880597,0.6502242152466368,0.7012442864398172
Moirai2,PN14,0.8056872037914692,0.303030303030303,0.3571428571428571,0.3278688524590163,0.6071477226284001,0.8056872037914692,0.6553473848555815
Moirai2,PN16,0.776,0.5652173913043478,0.7647058823529411,0.65,0.7426470588235294,0.776,0.850355526826115
Moirai2,PN17,0.7391304347826086,0.4117647058823529,0.5833333333333334,0.4827586206896552,0.6541700080192462,0.7391304347826086,0.7257326007326007
TSMixer (Google-style),PN00,0.8100358422939068,0.4583333333333333,0.2156862745098039,0.2933333333333333,0.5918012422360248,0.8100358422939068,0.6588407292741658
TSMixer (Google-style),PN01,0.625,0.2307692307692307,0.4285714285714285,0.3,0.5219512195121951,0.625,0.5777080062794347
TSMixer (Google-style),PN03,0.84251968503937,0.7272727272727273,0.6857142857142857,0.7058823529411765,0.7991777356103732,0.84251968503937,0.7996894409937888
TSMixer (Google-style),PN05,0.5935483870967742,0.1333333333333333,0.4210526315789473,0.2025316455696202,0.4649021864211737,0.5935483870967742,0.5255417956656346
TSMixer (Google-style),PN06,0.8102189781021898,0.2307692307692307,0.0666666666666666,0.1034482758620689,0.4986629134412385,0.8102189781021898,0.6006792819019894
TSMixer (Google-style),PN07,0.5454545454545454,0.2727272727272727,0.9,0.4186046511627907,0.5227351614022909,0.5454545454545454,0.7644444444444445
TSMixer (Google-style),PN09,0.7633136094674556,0.3636363636363636,0.3870967741935484,0.375,0.614507299270073,0.7633136094674556,0.6900420757363254
TSMixer (Google-style),PN11,0.6363636363636364,0.1764705882352941,0.3333333333333333,0.2307692307692307,0.4963369963369963,0.6363636363636364,0.5241545893719807
TSMixer (Google-style),PN12,0.695067264573991,0.2,0.1818181818181818,0.1904761904761904,0.5013154433043936,0.695067264573991,0.5464702894870492
TSMixer (Google-style),PN14,0.8341232227488151,0.36,0.3214285714285714,0.3396226415094339,0.6223858464999744,0.8341232227488151,0.6330991412958626
TSMixer (Google-style),PN16,0.784,0.6060606060606061,0.5882352941176471,0.5970149253731343,0.7247369708832885,0.784,0.7941176470588236
TSMixer (Google-style),PN17,0.7739130434782608,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.6577380952380952,0.7739130434782608,0.7239010989010989
TabPFN,PN00,0.899641577060932,0.9259259259259259,0.49019607843137253,0.6410256410256411,0.7913461538461539,0.899641577060932,0.8635190918472652
TabPFN,PN01,0.9375,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.8913374913374914,0.9375,0.9283097854526425
TabPFN,PN03,0.8582677165354331,0.8148148148148148,0.6285714285714286,0.7096774193548387,0.8079637096774194,0.8582677165354331,0.8881987577639752
TabPFN,PN05,0.8774193548387097,0.5,0.5789473684210527,0.5365853658536586,0.7329766977967178,0.8774193548387097,0.8482972136222909
TabPFN,PN06,0.8722627737226277,0.8125,0.28888888888888886,0.4262295081967213,0.6771804625172518,0.8722627737226277,0.8761766132945173
TabPFN,PN07,0.5636363636363636,0.29411764705882354,1.0,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.8133333333333334
TabPFN,PN09,0.8224852071005917,1.0,0.03225806451612903,0.0625,0.48223039215686275,0.8224852071005917,0.907667134174848
TabPFN,PN11,0.8363636363636363,0.5,0.5555555555555556,0.5263157894736842,0.7137073452862926,0.8363636363636363,0.8140096618357489
TabPFN,PN12,0.8475336322869955,0.6,0.6818181818181818,0.6382978723404256,0.7708534816247583,0.8475336322869955,0.9019172168613508
TabPFN,PN14,0.9004739336492891,0.7333333333333333,0.39285714285714285,0.5116279069767442,0.7281094680002455,0.9004739336492891,0.7419984387197502
TabPFN,PN16,0.864,0.84,0.6176470588235294,0.711864406779661,0.8114295855887834,0.864,0.9276018099547512
TabPFN,PN17,0.8608695652173913,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7893772893772893,0.8608695652173913,0.8676739926739927
TabICL,PN00,0.8817204301075269,0.68,0.6666666666666666,0.6732673267326733,0.8005286305435795,0.8817204301075269,0.8611541107671138
TabICL,PN01,0.9107142857142857,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.8585858585858586,0.9107142857142857,0.9058084772370486
TabICL,PN03,0.889763779527559,0.8888888888888888,0.6857142857142857,0.7741935483870968,0.850638440860215,0.889763779527559,0.8748447204968944
TabICL,PN05,0.8838709677419355,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.7300696594427245,0.8838709677419355,0.8409442724458205
TabICL,PN06,0.864963503649635,0.7,0.3111111111111111,0.4307692307692308,0.6770823379519032,0.864963503649635,0.8093643862202815
TabICL,PN07,0.5636363636363636,0.29411764705882354,1.0,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.7911111111111111
TabICL,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.794179523141655
TabICL,PN11,0.8181818181818182,0.45454545454545453,0.5555555555555556,0.5,0.6944444444444444,0.8181818181818182,0.7729468599033816
TabICL,PN12,0.8475336322869955,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.7593321482986288,0.8475336322869955,0.8756348400203148
TabICL,PN14,0.8767772511848341,0.55,0.39285714285714285,0.4583333333333333,0.6944073083778967,0.8767772511848341,0.6984777517564403
TabICL,PN16,0.904,0.84375,0.7941176470588235,0.8181818181818182,0.8764822134387352,0.904,0.9153199741435036
TabICL,PN17,0.8347826086956521,0.5925925925925926,0.6666666666666666,0.6274509803921569,0.7606528644977544,0.8347826086956521,0.8521062271062271
