model,patient,Accuracy,Precision,Recall,F1 Score,F1 Macro,F1 Micro,ROC AUC
RandomForest,PN07,0.5636363636363636,0.29411764705882354,1.0,0.45454545454545453,0.5454545454545454,0.5636363636363636,0.7966666666666666
RandomForest,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.6976390836839644
RandomForest,PN11,0.8727272727272727,0.625,0.5555555555555556,0.5882352941176471,0.756483238456673,0.8727272727272727,0.8478260869565217
RandomForest,PN12,0.9147982062780269,0.9310344827586207,0.6136363636363636,0.7397260273972602,0.8443938447978259,0.9147982062780269,0.9087734890807516
RandomForest,PN14,0.9004739336492891,0.8888888888888888,0.2857142857142857,0.43243243243243246,0.6889434889434889,0.9004739336492891,0.7163348946135831
RandomForest,PN16,0.856,0.8636363636363636,0.5588235294117647,0.6785714285714286,0.7928939617083948,0.856,0.873464770523594
RandomForest,PN17,0.8695652173913043,0.7142857142857143,0.625,0.6666666666666666,0.7927927927927928,0.8695652173913043,0.8612637362637363
LogisticRegression,PN00,0.7562724014336918,0.2702702702702703,0.19607843137254902,0.22727272727272727,0.5412959381044488,0.7562724014336918,0.6522187822497421
LogisticRegression,PN01,0.8928571428571429,0.8461538461538461,0.5238095238095238,0.6470588235294118,0.7919504643962849,0.8928571428571429,0.8670852956567242
LogisticRegression,PN03,0.5905511811023622,0.3835616438356164,0.8,0.5185185185185185,0.5811770674784373,0.5905511811023622,0.7478260869565218
LogisticRegression,PN05,0.7548387096774194,0.21212121212121213,0.3684210526315789,0.2692307692307692,0.5609719737626714,0.7548387096774194,0.6869195046439629
LogisticRegression,PN06,0.8321167883211679,0.0,0.0,0.0,0.4541832669322709,0.8321167883211679,0.6703541969917516
LogisticRegression,PN07,0.5454545454545454,0.2857142857142857,1.0,0.4444444444444444,0.5299145299145299,0.5454545454545454,0.7422222222222222
LogisticRegression,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.7671809256661991
LogisticRegression,PN11,0.8363636363636363,0.0,0.0,0.0,0.45544554455445546,0.8363636363636363,0.22946859903381642
LogisticRegression,PN12,0.8923766816143498,0.7941176470588235,0.6136363636363636,0.6923076923076923,0.8135451505016722,0.8923766816143498,0.8690959878110716
LogisticRegression,PN14,0.9004739336492891,0.8181818181818182,0.32142857142857145,0.46153846153846156,0.7033540871660976,0.9004739336492891,0.7320452771272444
LogisticRegression,PN16,0.904,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.87879767291532,0.904,0.920814479638009
LogisticRegression,PN17,0.8695652173913043,0.6666666666666666,0.75,0.7058823529411765,0.8110417351298062,0.8695652173913043,0.8740842490842491
SVC,PN00,0.8709677419354839,0.8260869565217391,0.37254901960784315,0.5135135135135135,0.7195666741121287,0.8709677419354839,0.7864637082903337
SVC,PN01,0.9196428571428571,0.9285714285714286,0.6190476190476191,0.7428571428571429,0.8476190476190476,0.9196428571428571,0.8859236002093145
SVC,PN03,0.7559055118110236,0.7,0.2,0.3111111111111111,0.5813928761297182,0.7559055118110236,0.7400621118012423
SVC,PN05,0.8774193548387097,0.5,0.05263157894736842,0.09523809523809523,0.5147470753007085,0.8774193548387097,0.7252321981424148
SVC,PN06,0.8357664233576643,0.0,0.0,0.0,0.4552683896620278,0.8357664233576643,0.7542940320232898
SVC,PN07,0.5272727272727272,0.2777777777777778,1.0,0.43478260869565216,0.514266304347826,0.5272727272727272,0.6966666666666667
SVC,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.6056568489948574
SVC,PN11,0.8363636363636363,0.0,0.0,0.0,0.45544554455445546,0.8363636363636363,0.78743961352657
SVC,PN12,0.9147982062780269,0.9629629629629629,0.5909090909090909,0.7323943661971831,0.8408638497652583,0.9147982062780269,0.874873031995937
SVC,PN14,0.8909952606635071,0.8571428571428571,0.21428571428571427,0.34285714285714286,0.6417128091546696,0.8909952606635071,0.7451209992193599
SVC,PN16,0.848,0.8260869565217391,0.5588235294117647,0.6666666666666666,0.7841105354058722,0.848,0.8998060762766645
SVC,PN17,0.8695652173913043,0.7142857142857143,0.625,0.6666666666666666,0.7927927927927928,0.8695652173913043,0.868131868131868
KNN,PN00,0.8100358422939068,0.4782608695652174,0.43137254901960786,0.4536082474226804,0.6693203926918174,0.8100358422939068,0.731424148606811
KNN,PN01,0.8571428571428571,0.631578947368421,0.5714285714285714,0.6,0.7565217391304347,0.8571428571428571,0.8152799581371011
KNN,PN03,0.6220472440944882,0.37735849056603776,0.5714285714285714,0.45454545454545453,0.5826944140197152,0.6220472440944882,0.6251552795031056
KNN,PN05,0.8258064516129032,0.2777777777777778,0.2631578947368421,0.2702702702702703,0.5856845856845857,0.8258064516129032,0.7074303405572755
KNN,PN06,0.8321167883211679,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.5113213399503722,0.8321167883211679,0.605870936438622
KNN,PN07,0.5454545454545454,0.2857142857142857,1.0,0.4444444444444444,0.5299145299145299,0.5454545454545454,0.7333333333333334
KNN,PN09,0.8165680473372781,0.0,0.0,0.0,0.4495114006514658,0.8165680473372781,0.5822814399251987
KNN,PN11,0.6181818181818182,0.2857142857142857,0.8888888888888888,0.43243243243243246,0.57238059977786,0.6181818181818182,0.7463768115942029
KNN,PN12,0.9013452914798207,0.8666666666666667,0.5909090909090909,0.7027027027027027,0.8217814588782331,0.9013452914798207,0.8532884713052311
KNN,PN14,0.8767772511848341,0.5833333333333334,0.25,0.35,0.6409685863874346,0.8767772511848341,0.5958235753317721
KNN,PN16,0.816,0.9230769230769231,0.35294117647058826,0.5106382978723404,0.6986689026307515,0.816,0.8130252100840336
KNN,PN17,0.8434782608695652,0.6,0.75,0.6666666666666666,0.7821969696969697,0.8434782608695652,0.8731684981684982
